x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0.122737022,0,0.002012744,0.150903017,0.247485234,0.006033574,0.102615791,0.26358253,0.555332608,0.575452285,0.5855129,0.442656201,0.571429903,0.736420577,1,1
0.841337803,0.468706112,0.810775822,0.573511466,0.391552922,0.560405415,0.475982137,0,0.32460042,0.650652779,0.541490123,0.411936483,0.518193776,0.796220802,1,1
0,0.006622249,0.264900902,0.315673442,0.320088555,0.260485789,0.282560513,0.794701864,0.836645019,0.779249389,0.810154339,0.750551573,0.799116977,1,0.825606815,0
0.088235232,0.014705521,0.058823488,0,0.07352901,0.338235408,0.352940929,0.382352673,0.323529185,0.338235408,0.617646626,0.838235057,1,0.985293777,0.985293777,1
0.046901667,0,0.048575848,0.199331207,0.34003533,0.319931978,0.373534763,0.440537145,0.509212828,0.633166355,0.730317171,0.860969178,0.934672678,1,0.921271322,1
0.869180364,0.889135214,1,0.767184118,0.585365936,0.481153612,0.607539401,0.345898438,0.321508049,0.232815882,0.126385789,0.195122261,0,0.288248275,0.394678368,0
0.820512429,0.865384627,0.846153423,0.814102639,0.833333231,1,0.685897056,0.794871434,0.660256061,0.615384474,0.53205109,0.391025316,0.160256367,0.108974379,0,1
0,0.016389704,0.163898176,0.335993474,0.613937715,0.641254267,0.603012002,0.830421133,0.905541935,0.837931852,0.78261575,0.805154713,0.967067427,1,0.899832881,0
0.823009399,1,0.995580384,0.814161298,0.867259759,0.884955962,0.67698863,0.353982188,0.495576442,0.646017812,0.539826802,0,0.172569999,0.314161298,0.185841659,0
0,0.325891361,0.723211955,0.084820709,0.316964327,0.232141766,0.370535789,0.593752372,0.700891592,0.86607042,0.580355341,0.473212417,0.299106556,0.433036136,1,0
0.036678238,0,0.028956854,0.146717954,0.185329872,0.276062795,0.233590185,0.312743534,0.299228612,0.272202103,0.316601724,0.133204699,1,0.93050505,0.93050505,1
0.544120296,0.367642113,0.161768415,0.316174439,0.176472178,0.286766914,0.014706765,0.036766914,0,0.27205114,0.639702262,0.64706165,1,0.72794886,0.257356385,1
0.784183785,0.467621359,0,0.158279512,0.776976814,0.489215058,0.366910868,0.553953628,0.618714312,0.726621569,1,0.848924057,0.705038076,0.956844922,0.460426295,1
0.989664725,0.953487652,1,0.552970734,0.447030298,0.279068928,0.343669296,0,0.193799041,0.064598305,0.087853447,0.103356875,0.095608256,0.289403171,0.193799041,0
0.845215264,0.997936236,1,0.698686399,0.558348826,0.290057893,0.370544684,0.015574038,0.197186073,0.042399706,0.022751957,0.146851761,0,0.066185584,0.024817352,0
0.478779565,0.09998649,0,0.584845367,0.954542857,0.68484225,0.390902336,0.448481731,0.451516191,0.469694372,0.603026146,1,0.79091065,0.851506318,0.548478613,1
0.847289049,0.864527509,1,0.950739023,0.682262854,0.546793966,0.581280492,0.839900623,0.741378669,0.834976206,0.775860392,0,0.103447572,0.103447572,0.017243263,0
0.90351026,1,0.67836547,0.663744649,0.786551123,0.564328764,0.304093756,0.157896692,0,0.073099151,0.125730143,0.008772245,0.014620821,0.22222236,0.40058721,0
0,0.076924263,0.196581168,0.264957802,0.316241378,0.444442609,0.606836562,0.529917806,0.504273815,0.66666887,0.632479452,0.854704611,0.803416629,1,0.991455675,1
1,0.933911531,0.799733022,0.903203988,0.883844786,0.75834433,0.761014618,0.531374987,0.522696934,0.331108009,0.12149528,0.175567201,0,0.142189371,0.246328546,1
0,0.108871173,0.231853869,0.264113465,0.318547325,0.437500378,0.562499622,0.653226175,0.649194805,0.637096377,0.677418714,0.85080649,0.983871065,1,0.997983452,1
0.186917539,0.177570215,0.140186907,0.177570215,0.177570215,0.074767614,0.093460267,0.261682159,0.336447777,0,0.037386303,0.794389809,1,0.654205897,0.691587209,0
0.912691829,0.955025803,0.743380796,0.74603232,0.76190304,0.828039703,1,0.77777602,0.899465852,0.066138924,0.169308773,0,0.097882623,0.108461596,0.375662033,1
0.978707396,1,0.829783767,0.691484875,0.457438753,0.340427673,0.40425277,0,0.202126385,0.202126385,0.07446421,0.22339982,0.244678047,0.329783767,0.202126385,1
0,0.024976391,0.191488768,0.557826231,0.172071473,0.252545787,0.449584347,0.296944125,0.677153743,0.144308555,0.361713411,0.86899606,1,0.707340333,0.712904081,1
0.950449534,1,0.81081034,0.576576572,0.490992152,0.522521285,0.599098626,0.490992152,0.509007848,0.279278901,0.121622986,0.027028412,0.202704123,0.139640219,0,1
0.221100674,0,0.321418078,0.360622034,0.464975605,0.983279993,0.946670338,0.620062777,0.373594423,0.672239123,0.629576097,0.808013745,0.906600734,0.975497087,1,0
0,0.150423887,0.091101383,0.26271119,0.461867035,0.466102288,0.57626955,0.57626955,0.777544229,0.874996078,0.90889741,0.953389289,0.983046921,1,0.690675686,0
0,0.107144379,0.571428797,0.420635459,0.535715582,0.670635854,0.575394302,0.500000789,0.555557309,0.579364541,0.607142012,0.611112251,0.730156301,0.23809599,1,1
0.092003884,0.142734269,0.149611906,0.065348334,0,0.678418294,0.702493495,0.826310699,0.803096344,0.790198262,0.902837615,0.94067394,0.904557847,0.92863378,1,1
0.875153354,1,0.788631072,0.621755818,0.485781243,0.415328416,0.4524117,0.437578576,0.292955382,0.239803592,0,0.003709943,0.28059492,0.422745453,0.144625094,1
